title,url,authors,author_urls,tags,description,overall_score,style_score,story_score,grammar_score,character_score,total_views,average_views,followers,favorites,ratings,pages,word_count
Eight God Engine,http://royalroadl.com/fiction/12211/eight-god-engine/,Vze3vdnp,http://royalroadl.com/profile/60421,Female Lead | Contemporary | Adventure | Fantasy | Mystery | Magic | Supernatural,"Jaq understands running. At sixteen, she escaped the mystic cult that raised her, stealing a million dollars on her way out. She's been on the move ever since. Jaq understands hiding. Staying quiet is the only strategy that works against monks who enslave dead gods to keep a lid on the supernatural world. Until the monks find her, a mass murderer begins stalking her, and she's forced to stand in the path of a Divine Force of Destruction. All within the course of a week. ...might be time for a new strategy. An Urban Fantasy Set In A Unique Universe Eight God Engine",4.54,4.75,4.75,4.88,4.69,15932,3983,148,33,49,21,5851
Mystic Ink,http://royalroadl.com/fiction/16176/mystic-ink/,vladerag,http://royalroadl.com/profile/76129,Grimdark | Psychological | Female Lead | Drama | Action | Adventure | Fantasy | Magic | Romance Subplot | Supernatural,"Life is hard for an orphan on the streets of Tyine, Capitol of the ""Glorious Empire"" of Haj, thirteen year old Cass knows this well and has managed to survive ever since her parents abadoned her five years ago. She thought her life was as terrible as it could be, but now that she has been grabbed off the street and thrown into a dark cell with many other street children, Cass worries that life may get even worse. Join Cass on her journey through blood and magic as she learns the power in the ink tattooed into her back and the horror of the worst kinds of people. (please take the content warnings seriously, this wont be a happy one folks)",4.34,3.88,3.88,4.62,3.25,288118,3893,437,88,145,491,135248
Legion of the Black Moon: Fields of Grey (Book 1),http://www.royalroad.com/fiction/115294/legion-of-the-black-moon-fields-of-grey/,WilliamWire,http://www.royalroad.com/profile/718792,Grimdark | Multiple Lead Characters | Fantasy | Short Story | High Fantasy | Magic,"Fields of Grey is the first in a series of mini books that will follow a medieval military company called the Black Moon Legion. In the wake of a civil war, traitors and outlaws are conscripted to tame a broken land at the bidding of a powerful arch-mage secretly ruling in the name of a child queen. Led by the brooding Lord Master Elliot Lampeer, the legion roams the remnants of a once great kingdom, facing off against outlaws and other insidious threats such as demons, ghosts, and monsters. Joanne is a witch shrouded in mystery, leading wild horsemen from the western dusk lands. Leon Dace is a former knight struggling to live with his kinsmen's defeat in the civil war. Wylen and Sherral are barbarians from the Iron Mountains seeking a future for their people but have uncertain loyalties. Micheal Thorn is a dishonored mage, whose scheming threatens to break the fragile unity of the legion. Legion of the Black Moon: Fields of Grey is set in a world where God has fallen, redemption is not assured, and a bleak fate shadows everyone’s footsteps. ... You can support me on Amazon if you wish to read it on kindle. I also have other science fiction books on there as well. You can find them here . I'm always looking for more ratings and reviews. I appreciate any feedback, especially constructive, so don't hold back if you wish to comment. I am also on Goodreads if you prefer to use that site. ... Reminder, I have begun posting the second mini-book in Legion of the Black Moon series: Woe to the Fallen . Please check it out.",,,,,,4373,437,86,21,4,65,18016
Crystal Guardian,http://www.royalroadl.com/fiction/1256/,nBosega,http://www.royalroadl.com/profile/4009,Space Opera | War and Military | Multiple Lead Characters | Sci-fi | Adventure | Fantasy | Cyberpunk | Romance Subplot | Strategy | Supernatural,"An unassuming object from the Heavens Strikes the Earth, and in its wake the new age of man begins. The impact of the Objects Gives Birth to 2 new species of Neo-Humans, and one of the newly created Neo-Humans gives birth to a Hybrid of Human and Neo-Human. The 2 Neo-Humans are sometimes good and sometimes very-very BAD. The world is changed forever as the 2 Neo-Humans go to war with each other over the right to determine the destiny of the world. The war draws in the Hybrids and the Humans escalating it to the point where the survival of life on the planet hangs in the balance. An unexpected resolution and peace is restored; for as long as a tentative peace holds. - - - This is a story of Men of Honour and Women of Virtue. A story of Armies of Light and Soldiers of Darkness; A story of Great Battles. A story about the Home of the Warriors, the Reasons they Fought and How they Died. - - - Author's Note: I started this Work of Fiction before Realm Eternal, but at the time Realm Eternal was burning to get out of my head and onto paper/screen so I couldn't focus on Crystal Guardian, and now that the Realm Eternal itch has been scratched I can begin releasing Crystal Guardian Arc 1: Between the Darkness and the Light. To be honest despite my dislike of Overpowered Characters my Protagonists are OP. I try to balance it out by making quite a few other people OP. ?Written in South African English which means closer to the British Standard.? - - - Warning: Mature Content ?Violence, Language and Adult Themes ? List of My Novels: ?Realm Eternal? ?Crystal Guardian ? ?Exiled Nomads of the Galaxy? ?Soul Vessel Psyche?",4.22,4.0,4.83,4.33,4.0,130740,1362,159,44,27,1815,499245
Realm Eternal,http://www.royalroadl.com/fiction/773/,nBosega,http://www.royalroadl.com/profile/4009,Virtual Reality | Strategy | Martial Arts | Multiple Lead Characters | Sci-fi | Action | Adventure | Drama | Fantasy | LitRPG | Magic | Romance Subplot,"Meet Nabi Elrick ; betrayed by the woman he loves, and blinded by anger he acts rashly and it nearly costs him everything. Nabi Elrick's actions have drastic consequences and he looses the prestige of his occupation and he sinks into an epic slump; a Deep depression. Fortunately the ?Alternate Reality Simulation? Realm Eternal rouses him from his melancholic abyss. Nabi Elrick sees an opportunity to Begin Again. Inspired by; Mushoku Tensei, Tate no Yuusha no Nariagari, Legendary Moonlight Sculptor, Daybreak on Hyperion, Log Horizon and Only Sense Online. I unashamedly draw some elements from my favourite light novels in writing this FanFic. For the Record; the Realm Eternal Mythology Revolves Around Ancient Dragons My Chapter target is set at ?5000 words? ?Written in South African English which means closer to the British Standard.? Warning: Mature Content ?Violence, Language and Adult Themes ? List of My Novels: ?Realm Eternal? ?Crystal Guardian ? ?Exiled Nomads of the Galaxy? ?Soul Vessel Psyche?",4.15,3.68,3.41,3.82,3.18,274300,8572,600,220,88,794,218516
Late Night at Lund's,https://royalroadl.com/fiction/15813/late-night-at-lunds/,BethLyons,https://royalroadl.com/profile/73689,GameLit | Strategy | Comedy | Female Lead | Adventure | Fantasy | High Fantasy | Magic | Romance Subplot,"Book 1 - Late Night at Lund's is available for sale on Amazon. Book 2: The Lockwood Quest continues the story! A dental hygienist walks into a bar..... Dental hygienist Isa Chamberlin thought the biggest challenge in her life was getting over a messy breakup, but when she pops into a new neighborhood bar, she finds herself in a different world, one filled with wizards, spells, and monsters. Join Isa as she explores unfamiliar surroundings, uncovers new skills, and learns to level. Magic and monsters, allies and enemies, romance and danger, all of it just on the other side of a simple door. ""Wear these bracers with pride.” the half-orc slid first one bracer and then the other over Isa’s forearms. “Fight with your heart,” he said as he pulled the laces tight. “And come back with a story to tell. That is what an adventurer does.” ....... **** Thank you for reading, and if you like the story, please rate and review. Isa and I would both like to level up! This story uses the 5th Edition Open Gaming License for game mechanics. I roll dice for combat outcomes and all skill checks.... which is sometimes surprising! One side note - I don't have a ""sexual content"" tag on - this is more romance than romp. But that might change!",4.3,4.38,4.62,4.88,3.88,396551,2592,313,86,92,834,229545
Cyberworld ALICE: Terror Rising,https://www.royalroad.com/fiction/1000/cyberworld-alice-terror-rising/,Nex,https://www.royalroad.com/profile/1019,,A story of how a genius sick at the world came to a new one. What happened in his past to cause him to be so? What would he meet in that new world? Written in a style reminiscent of Mokushiroku Arisu.,,,,,,4661,1554,3,1,2,39,10836
Gravecrawlers,https://www.royalroad.com/fiction/10000/gravecrawlers/,BloodyAngel,https://www.royalroad.com/profile/35869,Action | Adventure | Fantasy | Magic,"After what many thought was the last great war of the millennium, when men await new beginnings at the dawn of a new age, two nobodies, forgotten by the world, have a taste of knowledge and truth. Two strangers looking down at the abyss that mankind in the past, feared, and in the present, forgot. And from the abyss they once again begin their slow but unstoppable crawl to the surface. The break of dawn seems more and more like the twilight, and the abyss has an uncanny resemblance to a grave.",,,,,,0,0,1,0,1,0,0
Dungeon and Master: Corebound,https://www.royalroad.com/fiction/100002/dungeon-and-master-corebound/,Mat6478,https://www.royalroad.com/profile/462057,Portal Fantasy / Isekai | Progression | Strategy | Comedy | Multiple Lead Characters | Adventure | Fantasy | Mystery | Dungeon Core | High Fantasy | Magic | Non-Human Lead,"Take a moment to imagine our world, or the Earth, or the universe, or whatever term you want to use to describe the place you’re (probably) reading this from. That place with those billions of humans like you (again, probably), always running around causing problems and fixing problems and then causing even more problems… The place where seemingly everyone is connected to everyone else, for better or for worse… That place which, though certainly containing wonders of many varieties, appears to be utterly devoid of the true magic that we can’t help but dream about… Well, you can cast that image aside now, because you aren’t going to need it anymore. Or at the very least, Kai isn’t going to need it anymore, which is awfully convenient for him, given he won’t remember most of it anyways. The world he finds himself in is not quite the same as the one he came from. Cantarum is a land of antithesis: Frost and Flame, Daylight and Darkness, Protection and Peril… The people of this world have adapted to the land, and the land has adapted to the people. The arrival of an outsider will inevitably disrupt the status quo. Not to mention the strange crystal that seemingly showed up alongside them. Is it… growing?",,,,,,314,314,1,0,0,7,1955
A Shattered World,https://www.royalroad.com/fiction/100003/a-shattered-world/,Beltraik,https://www.royalroad.com/profile/599377,Drama | Action | Fantasy | Romance Subplot,"In the year 22088, Earth is a fractured shadow of its former self. World War III reshaped the continents and erased 7% of life, leaving behind devastation-and discovery. From the ruins, a mysterious figure unlocked the power to merge magic and technology, forever altering the course of humanity. Now, traditional weapons are obsolete. Instead, nations wield an army of ""mages""-individuals enhanced with brain-implanted chips at the age of 18, capable of wielding devastating power. They are no longer just soldiers or weapons. They are the new nuclear arsenal, a force so potent they have become both humanity's greatest threat and its most precarious safeguard. As the world teeters on the edge of a new kind of destruction. Nations cling to an uneasy cold war, with mages standing as the only deterrent against total annihilation. But how long can this delicate balance hold before the scales tip?",,,,,,3142,131,7,2,0,452,124477
